[0, 1.6689300537109375e-06]
[132, 0.0005626678466796875]
[133, 0.0005893707275390625]
[134, 0.0005865097045898438]
[135, 0.0005917549133300781]
[136, 0.0005943775177001953]
[137, 0.0006127357482910156]
[138, 0.0005965232849121094]
[139, 0.0006113052368164062]
[140, 0.0006256103515625]
[141, 0.00063323974609375]
[142, 0.0006461143493652344]
[143, 0.000640869140625]
[144, 0.0006456375122070312]
[145, 0.0006465911865234375]
[146, 0.0006589889526367188]
[147, 0.0006573200225830078]
[148, 0.0006663799285888672]
[149, 0.0006740093231201172]
[150, 0.0006725788116455078]
[151, 0.0006849765777587891]
[152, 0.0006959438323974609]
[153, 0.0006861686706542969]
[154, 0.0006966590881347656]
[155, 0.0007140636444091797]
[156, 0.0006961822509765625]
[157, 0.00070953369140625]
[158, 0.0006992816925048828]
[159, 0.0007319450378417969]
[160, 0.0007255077362060547]
[161, 0.0007340908050537109]
[162, 0.0007483959197998047]
[163, 0.0007455348968505859]
[164, 0.0007402896881103516]
[165, 0.0007443428039550781]
[166, 0.0007815361022949219]
[167, 0.0007727146148681641]
[168, 0.0007746219635009766]
[169, 0.0007839202880859375]
[170, 0.0007631778717041016]
[171, 0.0007991790771484375]
[172, 0.0007977485656738281]
[173, 0.0008087158203125]
[174, 0.0008137226104736328]
[175, 0.0008187294006347656]
[176, 0.0008230209350585938]
[177, 0.0008351802825927734]
[178, 0.0008263587951660156]
[179, 0.0008366107940673828]
[180, 0.0008645057678222656]
[181, 0.0008814334869384766]
[182, 0.0008599758148193359]
[183, 0.0008795261383056641]
[184, 0.0008602142333984375]
[185, 0.0008664131164550781]
[186, 0.0008831024169921875]
[187, 0.0008718967437744141]
[188, 0.0008862018585205078]
[189, 0.0008864402770996094]
[190, 0.0008864402770996094]
[191, 0.0009021759033203125]
[192, 0.0009551048278808594]
[193, 0.0009913444519042969]
[194, 0.000982522964477539]
[195, 0.0009925365447998047]
[196, 0.0009317398071289062]
[197, 0.0009212493896484375]
[198, 0.0009403228759765625]
[199, 0.0009570121765136719]
[200, 0.0009589195251464844]
[201, 0.0009562969207763672]
[202, 0.0009789466857910156]
[203, 0.0009713172912597656]
[204, 0.000986337661743164]
[205, 0.0010042190551757812]
[206, 0.0009872913360595703]
[207, 0.0010006427764892578]
[208, 0.0010018348693847656]
[209, 0.0010159015655517578]
[210, 0.0010113716125488281]
[211, 0.0010182857513427734]
[212, 0.001033782958984375]
[213, 0.0010406970977783203]
[214, 0.0010449886322021484]
[215, 0.0010454654693603516]
[216, 0.0010368824005126953]
[217, 0.0011010169982910156]
[218, 0.0010836124420166016]
[219, 0.0011217594146728516]
[220, 0.0011222362518310547]
[221, 0.0010881423950195312]
[222, 0.0010864734649658203]
[223, 0.0010991096496582031]
[224, 0.001100301742553711]
[225, 0.0010886192321777344]
[226, 0.001112222671508789]
[227, 0.0011119842529296875]
[228, 0.0011034011840820312]
[229, 0.0011239051818847656]
[230, 0.0011403560638427734]
[231, 0.0011370182037353516]
[232, 0.001132965087890625]
[233, 0.0011496543884277344]
[234, 0.0011658668518066406]
[235, 0.0011620521545410156]
[236, 0.0011739730834960938]
[237, 0.0011718273162841797]
[238, 0.0011882781982421875]
[239, 0.001184701919555664]
[240, 0.0012111663818359375]
[241, 0.0011935234069824219]
[242, 0.0012009143829345703]
[243, 0.0012116432189941406]
[244, 0.001215219497680664]
[245, 0.0012187957763671875]
[246, 0.0012218952178955078]
[247, 0.0012323856353759766]
[248, 0.0012269020080566406]
[249, 0.0012302398681640625]
[250, 0.001283884048461914]
[251, 0.0012829303741455078]
[252, 0.0012593269348144531]
[253, 0.0012593269348144531]
[254, 0.0012526512145996094]
[255, 0.0012912750244140625]
[256, 0.0012905597686767578]
[257, 0.0012755393981933594]
[258, 0.001287221908569336]
[259, 0.0012955665588378906]
[260, 0.0012860298156738281]
[261, 0.0012955665588378906]
[262, 0.0013098716735839844]
[263, 0.0012974739074707031]
[264, 0.0013353824615478516]
[265, 0.0013265609741210938]
[266, 0.0013687610626220703]
[267, 0.0013332366943359375]
[268, 0.0013556480407714844]
[269, 0.0013427734375]
[270, 0.0013744831085205078]
[271, 0.0014257431030273438]
[272, 0.001378774642944336]
[273, 0.0013804435729980469]
[274, 0.0013861656188964844]
[275, 0.0014061927795410156]
[276, 0.001394510269165039]
[277, 0.0014433860778808594]
[278, 0.0014812946319580078]
[279, 0.0014159679412841797]
[280, 0.0014238357543945312]
[281, 0.0014271736145019531]
[282, 0.0014193058013916016]
[283, 0.0014529228210449219]
[284, 0.0014486312866210938]
[285, 0.00146484375]
[286, 0.0014684200286865234]
[287, 0.0014615058898925781]
[288, 0.0014979839324951172]
[289, 0.0014920234680175781]
[290, 0.0015037059783935547]
[291, 0.0014886856079101562]
[292, 0.0015115737915039062]
[293, 0.0015246868133544922]
[294, 0.0015113353729248047]
[295, 0.0015385150909423828]
[296, 0.0015425682067871094]
[297, 0.00153350830078125]
[298, 0.001619577407836914]
[299, 0.0015323162078857422]
[300, 0.0015537738800048828]
[301, 0.0015382766723632812]
[302, 0.0016198158264160156]
[303, 0.0016124248504638672]
[304, 0.0015993118286132812]
[305, 0.0016832351684570312]
[306, 0.0016064643859863281]
[307, 0.0016524791717529297]
[308, 0.0016105175018310547]
[309, 0.001603841781616211]
[310, 0.0016207695007324219]
[311, 0.0016293525695800781]
[312, 0.001631021499633789]
[313, 0.001703023910522461]
[314, 0.0016491413116455078]
[315, 0.0016891956329345703]
[316, 0.0016813278198242188]
[317, 0.0016558170318603516]
[318, 0.0016603469848632812]
[319, 0.0016911029815673828]
[320, 0.001676321029663086]
[321, 0.00170135498046875]
[322, 0.0016818046569824219]
[323, 0.001680135726928711]
[324, 0.0016942024230957031]
[325, 0.001699686050415039]
[326, 0.0017247200012207031]
[327, 0.0017993450164794922]
[328, 0.0017774105072021484]
[329, 0.0017457008361816406]
[330, 0.0017666816711425781]
[331, 0.0017480850219726562]
[332, 0.0017232894897460938]
[333, 0.001771688461303711]
[334, 0.0017642974853515625]
[335, 0.001771688461303711]
[336, 0.0017788410186767578]
[337, 0.0018417835235595703]
[338, 0.0017936229705810547]
[339, 0.0017924308776855469]
[340, 0.001804351806640625]
[341, 0.0018177032470703125]
[342, 0.0018057823181152344]
[343, 0.001827239990234375]
[344, 0.0018239021301269531]
[345, 0.0018205642700195312]
[346, 0.0018303394317626953]
[347, 0.00185394287109375]
[348, 0.0018651485443115234]
[349, 0.0018839836120605469]
[350, 0.0019054412841796875]
[351, 0.0019075870513916016]
[352, 0.0018992424011230469]
[353, 0.001916646957397461]
[354, 0.0018923282623291016]
[355, 0.0019333362579345703]
[356, 0.0019037723541259766]
[357, 0.0018916130065917969]
[358, 0.0019259452819824219]
[359, 0.0019330978393554688]
[360, 0.001916646957397461]
[361, 0.0019392967224121094]
[362, 0.0019412040710449219]
[363, 0.0019576549530029297]
[364, 0.001966238021850586]
[365, 0.0019774436950683594]
[366, 0.002056121826171875]
[367, 0.0019960403442382812]
[368, 0.001960277557373047]
[369, 0.002051115036010742]
[370, 0.002071380615234375]
[371, 0.0020329952239990234]
[372, 0.0020227432250976562]
[373, 0.002048015594482422]
[374, 0.0020780563354492188]
[375, 0.0020520687103271484]
[376, 0.0021381378173828125]
[377, 0.002042531967163086]
[378, 0.002054452896118164]
[379, 0.0020558834075927734]
[380, 0.0020754337310791016]
[381, 0.002087116241455078]
[382, 0.0021028518676757812]
[383, 0.002112865447998047]
[384, 0.002108335494995117]
[385, 0.002127408981323242]
[386, 0.002196788787841797]
[387, 0.0021359920501708984]
[388, 0.002113819122314453]
[389, 0.0022897720336914062]
[390, 0.002302885055541992]
[391, 0.0021827220916748047]
[392, 0.0021562576293945312]
[393, 0.0021648406982421875]
[394, 0.0021300315856933594]
[395, 0.002172708511352539]
[396, 0.0021779537200927734]
[397, 0.002177715301513672]
[398, 0.0021789073944091797]
[399, 0.002181529998779297]
[400, 0.0022008419036865234]
[401, 0.002328157424926758]
[402, 0.002367734909057617]
[403, 0.0022177696228027344]
[404, 0.002235889434814453]
[405, 0.002262592315673828]
[406, 0.002308368682861328]
[407, 0.0023605823516845703]
[408, 0.0022673606872558594]
[409, 0.002266407012939453]
[410, 0.002279996871948242]
[411, 0.0022678375244140625]
[412, 0.0024182796478271484]
[413, 0.0024144649505615234]
[414, 0.002324342727661133]
[415, 0.0022995471954345703]
[416, 0.0023145675659179688]
[417, 0.002322673797607422]
[418, 0.0023124217987060547]
[419, 0.0023508071899414062]
[420, 0.0023589134216308594]
[421, 0.0024352073669433594]
[422, 0.0023407936096191406]
[423, 0.0023636817932128906]
[424, 0.0024957656860351562]
[425, 0.0025048255920410156]
[426, 0.0023691654205322266]
[427, 0.002405405044555664]
[428, 0.002393484115600586]
[429, 0.0024101734161376953]
[430, 0.0024263858795166016]
[431, 0.002446413040161133]
[432, 0.002418994903564453]
[433, 0.002431631088256836]
[434, 0.0024323463439941406]
[435, 0.0024487972259521484]
[436, 0.002435922622680664]
[437, 0.002471446990966797]
[438, 0.0024628639221191406]
[439, 0.0025947093963623047]
[440, 0.0025217533111572266]
[441, 0.0024852752685546875]
[442, 0.0024950504302978516]
[443, 0.002510547637939453]
[444, 0.0025186538696289062]
[445, 0.0025207996368408203]
[446, 0.0026357173919677734]
[447, 0.002530813217163086]
[448, 0.002538442611694336]
[449, 0.0025205612182617188]
[450, 0.0025603771209716797]
[451, 0.0025739669799804688]
[452, 0.0025751590728759766]
[453, 0.0025811195373535156]
[454, 0.002574920654296875]
[455, 0.002667665481567383]
[456, 0.002582550048828125]
[457, 0.0026040077209472656]
[458, 0.002597332000732422]
[459, 0.0026178359985351562]
[460, 0.002635955810546875]
[461, 0.002641439437866211]
[462, 0.002706766128540039]
[463, 0.0026416778564453125]
[464, 0.0026607513427734375]
[465, 0.0026543140411376953]
[466, 0.0026268959045410156]
[467, 0.002666950225830078]
[468, 0.0026710033416748047]
[469, 0.0026891231536865234]
[470, 0.002802133560180664]
[471, 0.002752065658569336]
[472, 0.002682209014892578]
[473, 0.0027000904083251953]
[474, 0.0027055740356445312]
[475, 0.0027747154235839844]
[476, 0.0027098655700683594]
[477, 0.0027277469635009766]
[478, 0.0027551651000976562]
[479, 0.002760648727416992]
[480, 0.002751588821411133]
[481, 0.0030012130737304688]
[482, 0.002766132354736328]
[483, 0.0028808116912841797]
[484, 0.0028734207153320312]
[485, 0.002839326858520508]
[486, 0.002830982208251953]
[487, 0.0028090476989746094]
[488, 0.0029015541076660156]
[489, 0.0028731822967529297]
[490, 0.0028502941131591797]
[491, 0.002821207046508789]
[492, 0.0028257369995117188]
[493, 0.00287628173828125]
[494, 0.0028412342071533203]
[495, 0.0028564929962158203]
[496, 0.0028684139251708984]
[497, 0.0030755996704101562]
[498, 0.002894878387451172]
[499, 0.002871990203857422]
[500, 0.0028963088989257812]
[501, 0.0030066967010498047]
[502, 0.0029144287109375]
[503, 0.002920866012573242]
[504, 0.0029015541076660156]
[505, 0.0029354095458984375]
[506, 0.002955198287963867]
[507, 0.0029489994049072266]
[508, 0.002934694290161133]
[509, 0.0029544830322265625]
[510, 0.0030167102813720703]
[511, 0.0030939579010009766]
[512, 0.002974271774291992]
[513, 0.0029764175415039062]
[514, 0.0037755966186523438]
[515, 0.0030281543731689453]
[516, 0.0030264854431152344]
[517, 0.003022909164428711]
[518, 0.0030078887939453125]
[519, 0.003039836883544922]
[520, 0.003238677978515625]
[521, 0.0030717849731445312]
[522, 0.0030829906463623047]
[523, 0.0030510425567626953]
[524, 0.0032143592834472656]
[525, 0.0031070709228515625]
[526, 0.003086090087890625]
[527, 0.0030918121337890625]
[528, 0.003114938735961914]
[529, 0.003121614456176758]
[530, 0.0031332969665527344]
[531, 0.0031309127807617188]
[532, 0.0031499862670898438]
[533, 0.0031371116638183594]
[534, 0.0031502246856689453]
[535, 0.003163576126098633]
[536, 0.003168821334838867]
[537, 0.003276824951171875]
[538, 0.003255128860473633]
[539, 0.0032358169555664062]
[540, 0.0031859874725341797]
[541, 0.003191709518432617]
[542, 0.0032091140747070312]
[543, 0.0032320022583007812]
[544, 0.003240346908569336]
[545, 0.0034542083740234375]
[546, 0.0032100677490234375]
[547, 0.003245115280151367]
[548, 0.003322124481201172]
[549, 0.0033097267150878906]
[550, 0.0032668113708496094]
[551, 0.0032644271850585938]
[552, 0.003289461135864258]
[553, 0.003307342529296875]
[554, 0.0032873153686523438]
[555, 0.0033197402954101562]
[556, 0.003335237503051758]
[557, 0.0033113956451416016]
[558, 0.003323793411254883]
[559, 0.0033359527587890625]
[560, 0.003495931625366211]
[561, 0.003359556198120117]
[562, 0.003388643264770508]
[563, 0.0034825801849365234]
[564, 0.003376483917236328]
[565, 0.003404378890991211]
[566, 0.0033664703369140625]
[567, 0.0033936500549316406]
[568, 0.0034139156341552734]
[569, 0.0033981800079345703]
[570, 0.0034143924713134766]
[571, 0.003396749496459961]
[572, 0.0035512447357177734]
[573, 0.003448963165283203]
[574, 0.0034601688385009766]
[575, 0.003465414047241211]
[576, 0.003446340560913086]
[577, 0.0035021305084228516]
[578, 0.0034894943237304688]
[579, 0.0034961700439453125]
[580, 0.0035085678100585938]
[581, 0.003504514694213867]
[582, 0.0035152435302734375]
[583, 0.003522157669067383]
[584, 0.0036249160766601562]
[585, 0.0035173892974853516]
[586, 0.003553628921508789]
[587, 0.003576517105102539]
[588, 0.0035393238067626953]
[589, 0.0035419464111328125]
[590, 0.00359344482421875]
[591, 0.0035829544067382812]
[592, 0.0035829544067382812]
[593, 0.0035762786865234375]
[594, 0.0035867691040039062]
[595, 0.0036163330078125]
[596, 0.0037262439727783203]
[597, 0.0037276744842529297]
[598, 0.0036280155181884766]
[599, 0.0036246776580810547]
[600, 0.0036325454711914062]
[601, 0.0036454200744628906]
[602, 0.003674745559692383]
[603, 0.003690004348754883]
[604, 0.0037102699279785156]
[605, 0.003668546676635742]
[606, 0.003681659698486328]
[607, 0.0037202835083007812]
[608, 0.003839731216430664]
[609, 0.00376129150390625]
[610, 0.003946781158447266]
[611, 0.0037534236907958984]
[612, 0.0037283897399902344]
[613, 0.0037479400634765625]
[614, 0.003756999969482422]
[615, 0.003777742385864258]
[616, 0.0037419795989990234]
[617, 0.003887653350830078]
[618, 0.003963947296142578]
[619, 0.004023313522338867]
[620, 0.003841400146484375]
[621, 0.003838062286376953]
[622, 0.0038154125213623047]
[623, 0.003850698471069336]
[624, 0.0038557052612304688]
[625, 0.004008054733276367]
[626, 0.0038406848907470703]
[627, 0.0038611888885498047]
[628, 0.00404047966003418]
[629, 0.003890514373779297]
[630, 0.003893136978149414]
[631, 0.0038957595825195312]
[632, 0.0038869380950927734]
[633, 0.003900289535522461]
[634, 0.004091978073120117]
[635, 0.003906726837158203]
[636, 0.0041201114654541016]
[637, 0.003991842269897461]
[638, 0.003981828689575195]
[639, 0.0039827823638916016]
[640, 0.0039708614349365234]
[641, 0.0040130615234375]
[642, 0.004008054733276367]
[643, 0.00401759147644043]
[644, 0.0041048526763916016]
[645, 0.004300832748413086]
[646, 0.003998756408691406]
[647, 0.004351377487182617]
[648, 0.0040471553802490234]
[649, 0.0040514469146728516]
[650, 0.004043102264404297]
[651, 0.004058122634887695]
[652, 0.004062175750732422]
[653, 0.004073619842529297]
[654, 0.0040738582611083984]
[655, 0.004086017608642578]
[656, 0.004070281982421875]
[657, 0.004282236099243164]
[658, 0.004184722900390625]
[659, 0.004103899002075195]
[660, 0.004099607467651367]
[661, 0.004143714904785156]
[662, 0.00426030158996582]
[663, 0.004315614700317383]
[664, 0.004117250442504883]
[665, 0.004198551177978516]
[666, 0.0041882991790771484]
[667, 0.004399538040161133]
[668, 0.0041811466217041016]
[669, 0.004185914993286133]
[670, 0.004157543182373047]
[671, 0.004208803176879883]
[672, 0.004204273223876953]
[673, 0.004202365875244141]
[674, 0.00420832633972168]
[675, 0.0042362213134765625]
[676, 0.004251241683959961]
[677, 0.004395246505737305]
[678, 0.004265546798706055]
[679, 0.004369497299194336]
[680, 0.004267215728759766]
[681, 0.0044803619384765625]
[682, 0.004275083541870117]
[683, 0.004302263259887695]
[684, 0.004323005676269531]
[685, 0.0044972896575927734]
[686, 0.004465341567993164]
[687, 0.004326581954956055]
[688, 0.004610538482666016]
[689, 0.004351139068603516]
[690, 0.004376888275146484]
[691, 0.0043909549713134766]
[692, 0.004375934600830078]
[693, 0.004488945007324219]
[694, 0.004577159881591797]
[695, 0.004630327224731445]
[696, 0.004457950592041016]
[697, 0.004451274871826172]
[698, 0.004463672637939453]
[699, 0.00440669059753418]
[700, 0.004443168640136719]
[701, 0.004437685012817383]
[702, 0.004412412643432617]
[703, 0.004535198211669922]
[704, 0.004540443420410156]
[705, 0.004483938217163086]
[706, 0.004472494125366211]
[707, 0.004503965377807617]
[708, 0.004492521286010742]
[709, 0.004523277282714844]
[710, 0.0051724910736083984]
[711, 0.004562854766845703]
[712, 0.004534721374511719]
[713, 0.004678487777709961]
[714, 0.00457453727722168]
[715, 0.004683971405029297]
[716, 0.004560947418212891]
[717, 0.0045702457427978516]
[718, 0.004537343978881836]
[719, 0.00461888313293457]
[720, 0.004616260528564453]
[721, 0.004729032516479492]
[722, 0.00476837158203125]
[723, 0.0048143863677978516]
[724, 0.004632711410522461]
[725, 0.004671335220336914]
[726, 0.004668474197387695]
[727, 0.004681825637817383]
[728, 0.0046536922454833984]
[729, 0.004687786102294922]
[730, 0.004632711410522461]
[731, 0.004872560501098633]
[732, 0.004807949066162109]
[733, 0.0047054290771484375]
[734, 0.0046765804290771484]
[735, 0.004744052886962891]
[736, 0.004692554473876953]
[737, 0.00471949577331543]
[738, 0.004739999771118164]
[739, 0.0047321319580078125]
[740, 0.0048105716705322266]
[741, 0.0049114227294921875]
[742, 0.004762172698974609]
[743, 0.004811763763427734]
[744, 0.004796504974365234]
[745, 0.004818916320800781]
[746, 0.00482177734375]
[747, 0.004821062088012695]
[748, 0.004987478256225586]
[749, 0.004851818084716797]
[750, 0.0049970149993896484]
[751, 0.004912853240966797]
[752, 0.0050449371337890625]
[753, 0.0050258636474609375]
[754, 0.004895448684692383]
[755, 0.004877567291259766]
[756, 0.004886627197265625]
[757, 0.00487065315246582]
[758, 0.005080699920654297]
[759, 0.004943370819091797]
[760, 0.004895687103271484]
[761, 0.004926443099975586]
[762, 0.004909038543701172]
[763, 0.004941225051879883]
[764, 0.004976034164428711]
[765, 0.004954099655151367]
[766, 0.00510406494140625]
[767, 0.005072355270385742]
[768, 0.0056416988372802734]
[769, 0.005034208297729492]
[770, 0.005036830902099609]
[771, 0.004996538162231445]
[772, 0.005011796951293945]
[773, 0.005240201950073242]
[774, 0.005299568176269531]
[775, 0.005048990249633789]
[776, 0.005051374435424805]
[777, 0.005060672760009766]
[778, 0.005042314529418945]
[779, 0.005291938781738281]
[780, 0.0053403377532958984]
[781, 0.0053005218505859375]
[782, 0.005112409591674805]
[783, 0.005125522613525391]
[784, 0.005087614059448242]
[785, 0.005312204360961914]
[786, 0.005360126495361328]
[787, 0.005152225494384766]
[788, 0.005156517028808594]
[789, 0.005361318588256836]
[790, 0.0052144527435302734]
[791, 0.00517582893371582]
[792, 0.005199432373046875]
[793, 0.005250692367553711]
[794, 0.0052297115325927734]
[795, 0.005413532257080078]
[796, 0.005222797393798828]
[797, 0.0053768157958984375]
[798, 0.005248308181762695]
[799, 0.0052754878997802734]
[800, 0.005254983901977539]
[801, 0.005259990692138672]
[802, 0.005305290222167969]
[803, 0.005377054214477539]
[804, 0.005257368087768555]
[805, 0.005523204803466797]
[806, 0.005463361740112305]
[807, 0.0055425167083740234]
[808, 0.005322933197021484]
[809, 0.005342006683349609]
[810, 0.005328655242919922]
[811, 0.0053865909576416016]
[812, 0.005351543426513672]
[813, 0.005586385726928711]
[814, 0.005335569381713867]
[815, 0.005392551422119141]
[816, 0.005378007888793945]
[817, 0.005400896072387695]
[818, 0.005422830581665039]
[819, 0.005401134490966797]
[820, 0.005535125732421875]
[821, 0.005765438079833984]
[822, 0.005390644073486328]
[823, 0.005416393280029297]
[824, 0.0054721832275390625]
[825, 0.005463123321533203]
[826, 0.0054547786712646484]
[827, 0.005436420440673828]
[828, 0.005580425262451172]
[829, 0.005600452423095703]
[830, 0.0055081844329833984]
[831, 0.0055637359619140625]
[832, 0.005811452865600586]
[833, 0.005527973175048828]
[834, 0.005523204803466797]
[835, 0.005749702453613281]
[836, 0.005895376205444336]
[837, 0.005850315093994141]
[838, 0.005566835403442383]
[839, 0.005818843841552734]
[840, 0.005570411682128906]
[841, 0.005669832229614258]
[842, 0.00588536262512207]
[843, 0.005650997161865234]
[844, 0.005609989166259766]
[845, 0.0056798458099365234]
[846, 0.005685567855834961]
[847, 0.0056629180908203125]
[848, 0.00577998161315918]
[849, 0.005927562713623047]
[850, 0.00567173957824707]
[851, 0.005700111389160156]
[852, 0.005762338638305664]
[853, 0.006030082702636719]
[854, 0.005725383758544922]
[855, 0.005795001983642578]
[856, 0.00581049919128418]
[857, 0.00572657585144043]
[858, 0.005728721618652344]
[859, 0.005746364593505859]
[860, 0.006318807601928711]
[861, 0.00577855110168457]
[862, 0.005792856216430664]
[863, 0.00580596923828125]
[864, 0.0058786869049072266]
[865, 0.005829811096191406]
[866, 0.0058078765869140625]
[867, 0.006081581115722656]
[868, 0.006013631820678711]
[869, 0.005868673324584961]
[870, 0.005835771560668945]
[871, 0.0058596134185791016]
[872, 0.005909919738769531]
[873, 0.006013154983520508]
[874, 0.006066083908081055]
[875, 0.006079196929931641]
[876, 0.0059735774993896484]
[877, 0.00594639778137207]
[878, 0.0060651302337646484]
[879, 0.0059528350830078125]
[880, 0.005936861038208008]
[881, 0.006047964096069336]
[882, 0.00598907470703125]
[883, 0.005968809127807617]
[884, 0.005967378616333008]
[885, 0.005987644195556641]
[886, 0.006027698516845703]
[887, 0.006041526794433594]
[888, 0.006082057952880859]
[889, 0.0059969425201416016]
[890, 0.006026268005371094]
[891, 0.006068706512451172]
[892, 0.0060422420501708984]
[893, 0.006055355072021484]
[894, 0.006076335906982422]
[895, 0.00618290901184082]
[896, 0.006064891815185547]
[897, 0.006077289581298828]
[898, 0.006221771240234375]
[899, 0.006105661392211914]
[900, 0.006227016448974609]
[901, 0.00615692138671875]
[902, 0.006192445755004883]
[903, 0.006225109100341797]
[904, 0.0061647891998291016]
[905, 0.0061681270599365234]
[906, 0.006223440170288086]
[907, 0.0061664581298828125]
[908, 0.006217479705810547]
[909, 0.006207466125488281]
[910, 0.006361722946166992]
[911, 0.0062596797943115234]
[912, 0.006247758865356445]
[913, 0.006253480911254883]
[914, 0.006278276443481445]
[915, 0.006244182586669922]
[916, 0.006253957748413086]
[917, 0.006279468536376953]
[918, 0.006424427032470703]
[919, 0.006327629089355469]
[920, 0.00626683235168457]
[921, 0.006276845932006836]
[922, 0.006430149078369141]
[923, 0.006316661834716797]
[924, 0.006383419036865234]
[925, 0.006325960159301758]
[926, 0.006352424621582031]
[927, 0.006330013275146484]
[928, 0.006339550018310547]
[929, 0.006342411041259766]
[930, 0.006581783294677734]
[931, 0.006464242935180664]
[932, 0.006597042083740234]
[933, 0.00640559196472168]
[934, 0.00641942024230957]
[935, 0.006596803665161133]
[936, 0.006500959396362305]
[937, 0.006536245346069336]
[938, 0.006504058837890625]
[939, 0.006472587585449219]
[940, 0.006891727447509766]
[941, 0.006537675857543945]
[942, 0.0067293643951416016]
[943, 0.006463766098022461]
[944, 0.006491899490356445]
[945, 0.006594657897949219]
[946, 0.006475687026977539]
[947, 0.006953716278076172]
[948, 0.006513357162475586]
[949, 0.006499528884887695]
[950, 0.0067501068115234375]
[951, 0.006561756134033203]
[952, 0.00653386116027832]
[953, 0.00791311264038086]
[954, 0.006538867950439453]
[955, 0.006620168685913086]
[956, 0.00722503662109375]
[957, 0.006860971450805664]
[958, 0.006805896759033203]
